YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
1978,1,1,10,16,19,25,29,17
1978,2,13,21,23,33,35,36,8
1978,3,5,6,20,23,25,27,4
1978,4,1,3,8,13,32,36,19
1978,5,2,10,22,28,32,36,21
1978,6,10,11,13,16,27,36,15
1978,7,7,9,18,22,28,34,30
1978,8,7,14,17,19,25,28,9
1978,9,8,25,30,31,32,34,4
1978,10,15,17,23,24,28,29,36
1978,11,8,25,29,30,34,36,19
1978,12,2,8,10,12,17,35,14
1978,13,1,8,9,15,16,17,11
1978,14,4,5,11,22,29,36,30
1978,15,3,7,21,24,25,36,33
1978,16,2,5,11,17,19,15,36
1978,17,7,8,11,31,32,35,21
1978,18,2,6,24,29,35,36,10
1978,19,1,17,23,25,32,33,5
1978,20,5,13,21,26,34,35,29
1978,21,1,6,10,14,22,25,28
1978,22,13,14,17,18,21,31,26
1978,23,6,14,20,21,25,36,15
1978,24,1,13,23,24,34,35,31
1978,25,1,7,12,17,26,29,14
1978,26,4,12,16,17,21,27,11
1978,27,4,12,15,17,22,34,20
1978,28,5,6,8,21,27,29,30
1978,29,1,2,11,32,34,36,20
1978,30,9,10,11,19,22,30,4
1978,31,4,6,15,20,26,36,24
1978,32,11,12,14,15,16,25,8
1978,33,4,6,8,13,26,32,24
1978,34,1,15,19,21,26,33,6
1978,35,4,12,16,24,31,34,27
1978,36,10,17,19,21,22,30,33
1978,37,6,10,11,23,27,30,3
1978,38,5,10,25,28,32,35,26
1978,39,3,13,19,23,26,32,25
1978,40,1,6,15,25,28,29,10
1978,41,7,13,15,25,33,35,18
1978,42,4,5,19,21,30,31,34
1978,43,4,9,10,15,32,36,11
1978,44,5,13,21,23,29,32,34
1978,45,11,24,26,31,35,36,34
1978,46,8,17,21,25,28,29,13
1978,47,4,6,21,26,28,33,30
1978,48,11,13,19,22,23,32,21
1978,49,3,9,13,19,25,28,1
1978,50,1,5,14,17,32,36,4
1978,51,3,5,19,26,28,32,36
1978,52,9,10,16,17,20,35,6
1978,53,3,6,10,19,23,27,26
1978,54,9,13,18,23,30,31,10
1978,55,11,17,19,22,29,33,9
1978,56,3,15,16,18,23,24,29
1978,57,6,21,22,24,25,34,11
1978,58,10,11,18,19,23,30,24
1978,59,15,20,22,25,32,33,13
1978,60,2,6,9,15,28,34,14
1978,61,1,7,8,11,21,26,27
1978,62,9,19,21,22,23,30,33
1978,63,10,17,19,24,31,32,9
1978,64,1,4,10,14,15,33,22
1978,65,2,12,20,22,29,31,6
1978,66,4,13,15,17,28,29,31
1978,67,1,12,18,31,32,34,33
1978,68,4,10,19,20,24,28,13
1978,69,1,2,3,24,25,30,5
1978,70,12,17,18,24,26,35,3
1978,71,6,9,13,17,21,35,31
1978,72,6,15,19,24,29,34,27
1978,73,6,8,16,23,30,35,14
1978,74,2,12,16,20,34,35,9
1978,75,9,12,19,24,25,35,8
1978,76,1,6,12,15,25,35,3
1978,77,3,6,13,14,29,33,18
1978,78,3,15,20,21,28,35,6
1978,79,19,20,21,29,32,35,1
1978,80,5,23,25,31,32,36,34
1978,81,8,12,13,15,24,33,6
1978,82,9,14,19,20,21,31,25
1978,83,3,8,10,18,32,34,15
1978,84,4,9,12,18,30,33,32
1978,85,16,18,25,29,33,35,26
1978,86,5,14,19,27,33,36,29
1978,87,1,4,7,9,30,33,18
1978,88,1,3,16,20,25,35,32
1978,89,1,8,12,24,32,35,11
1978,90,5,6,10,14,25,28,34
1978,91,4,13,15,21,24,35,29
1978,92,4,9,10,32,34,35,6
1978,93,2,19,23,32,34,35,30
1978,94,3,11,12,13,26,33,18
1978,95,4,5,27,32,34,35,12
1978,96,1,4,9,26,28,30,5
1978,97,4,8,12,13,18,28,2
1978,98,1,3,4,14,33,35,20
1978,99,3,6,12,20,26,29,4
1978,100,12,16,21,29,33,35,11
1978,101,7,10,17,19,21,33,23
