YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
1996,46,17,8,9,15,7,13,4
1996,47,27,46,16,31,22,5,47
1996,48,20,24,26,14,3,40,44
1996,49,16,9,18,20,35,5,46
1996,50,33,24,11,43,15,1,14
1996,51,15,26,7,6,20,44,42
1996,52,46,2,20,6,42,47,5
1996,53,2,43,45,33,40,26,46
1996,54,45,36,8,24,39,44,12
1996,55,41,22,36,16,17,30,39
1996,56,37,11,46,9,45,26,13
1996,57,24,23,32,6,21,7,12
1996,58,6,32,3,13,15,44,40
1996,59,10,25,27,38,15,12,11
1996,60,43,33,28,41,14,8,42
1996,61,44,19,30,5,6,36,43
1996,62,42,5,33,19,22,34,12
1996,63,40,6,4,46,19,43,47
1996,64,16,1,47,22,25,26,5
1996,65,19,37,10,1,36,27,21
1996,66,3,17,2,5,42,32,39
1996,67,35,26,36,28,13,38,39
1996,68,9,7,10,43,45,31,30
1996,69,36,47,21,46,39,14,16
1996,70,22,18,4,20,6,44,46
1996,71,21,43,30,7,31,45,12
1996,72,3,22,20,12,16,25,38
1996,73,24,27,12,30,28,33,5
1996,74,36,2,30,37,25,22,14
1996,75,31,26,30,40,23,9,13
1996,76,14,8,17,45,10,27,9
1996,77,36,5,40,12,11,42,31
1996,78,17,7,24,23,30,32,11
1996,79,10,43,38,28,29,6,13
1996,80,20,10,47,33,29,32,31
1996,81,16,23,17,15,24,26,7
1996,82,45,3,14,35,17,24,7
1996,83,42,3,43,9,10,17,16
1996,84,36,18,32,33,2,26,40
1996,85,9,36,12,26,22,5,2
1996,86,29,27,38,20,30,37,34
1996,87,19,14,46,21,44,30,34
1996,88,38,37,26,4,33,14,1
1996,89,5,15,8,3,10,4,18
1996,90,5,2,32,37,11,15,41
1996,91,15,8,9,46,10,44,16
1996,92,3,41,23,29,39,5,13
1996,93,7,29,47,42,8,6,34
1996,94,1,40,26,39,46,2,7
1996,95,18,30,32,27,4,12,31
1996,96,14,23,18,29,9,11,46
1996,97,45,23,31,20,35,4,22
1996,98,20,1,16,4,15,40,30
1996,99,21,9,43,12,25,30,26
1996,100,22,25,36,23,14,11,6
1996,101,40,25,28,41,2,30,31
1996,102,29,19,37,45,23,11,7
1996,103,9,16,47,2,4,37,24
1996,104,9,11,20,43,40,14,45
1996,105,25,46,47,33,35,22,5
1996,106,21,15,14,9,40,24,46
1997,1,28,30,26,38,33,16,47
1997,2,38,13,42,5,39,2,8
1997,3,20,29,24,9,44,14,33
1997,4,27,45,17,12,33,26,44
1997,5,16,12,38,2,42,37,22
1997,6,39,44,45,46,28,2,3
1997,7,12,20,36,14,41,29,10
1997,8,14,5,27,37,12,33,11
1997,9,47,12,4,13,8,34,14
1997,10,34,43,40,29,37,39,32
1997,11,28,14,8,10,27,29,17
1997,12,34,26,25,30,2,11,37
1997,13,39,1,27,14,29,5,44
1997,14,35,9,24,16,14,29,17
1997,15,36,4,8,9,41,39,7
1997,16,32,34,28,29,20,24,4
1997,17,7,39,32,21,19,24,46
1997,18,40,9,36,16,18,1,6
1997,19,21,26,23,34,7,32,6
1997,20,21,3,36,34,9,8,12
1997,21,43,9,6,28,21,15,17
1997,22,1,46,23,22,45,39,26
1997,23,32,24,44,26,15,28,11
1997,24,40,41,29,2,46,35,45
1997,25,16,46,25,9,36,4,12
1997,26,10,22,43,5,18,3,12
1997,27,13,25,18,6,39,21,5
1997,28,1,42,36,10,9,3,47
1997,29,18,4,2,22,45,13,25
1997,30,40,8,2,46,3,1,18
1997,31,10,30,16,22,5,37,14
1997,32,22,10,31,21,16,47,12
1997,33,29,39,19,15,4,17,33
1997,34,43,19,35,31,12,41,4
1997,35,27,41,32,35,37,1,5
1997,36,10,15,3,38,37,7,42
1997,37,7,11,14,10,16,21,17
1997,38,28,15,30,16,14,44,33
1997,39,32,14,30,1,11,27,38
1997,40,9,27,42,23,28,5,22
1997,41,4,19,8,2,36,37,44
1997,42,29,36,22,15,6,40,35
1997,43,39,6,25,47,35,24,43
1997,44,31,46,42,14,35,25,45
1997,45,42,34,31,45,37,44,35
1997,46,8,45,17,26,7,39,22
1997,47,20,31,40,27,12,38,47
1997,48,3,22,18,38,16,45,5
1997,49,11,37,10,38,28,19,34
1997,50,42,38,17,32,39,30,4
1997,51,18,7,1,17,4,9,40
1997,52,14,41,18,26,28,3,23
1997,53,5,20,16,19,30,10,34
1997,54,26,23,34,6,42,35,27
1997,55,17,19,34,1,12,22,15
1997,56,3,45,10,33,1,14,30
1997,57,37,35,13,19,46,3,39
1997,58,28,25,17,10,6,34,9
1997,59,37,40,15,14,45,17,39
1997,60,16,22,15,28,2,36,14
1997,61,16,34,33,37,12,27,43
1997,62,24,32,16,37,21,45,29
1997,63,26,30,2,36,22,9,38
1997,64,32,28,43,3,8,42,41
1997,65,40,29,5,2,4,27,9
1997,66,19,35,37,31,42,38,18
1997,67,18,30,34,24,12,35,20
1997,68,38,17,34,3,29,22,14
1997,69,19,32,16,33,3,15,26
1997,70,18,10,45,42,8,26,14
1997,71,42,30,28,9,47,6,35
1997,72,14,26,2,6,42,33,40
1997,73,29,45,2,42,18,7,10
1997,74,43,47,37,1,27,44,22
1997,75,47,14,31,15,6,9,42
1997,76,28,19,8,33,5,32,44
1997,77,32,14,10,9,41,30,37
1997,78,42,1,27,15,46,34,33
1997,79,31,45,38,28,6,24,13
1997,80,26,24,22,43,8,37,6
1997,81,26,12,42,24,8,29,6
1997,82,8,14,25,31,32,5,18
1997,83,6,11,24,18,27,29,7
1997,84,35,13,41,21,7,27,38
1997,85,16,38,14,25,24,35,29
1997,86,25,14,29,35,41,23,8
1997,87,4,14,32,34,41,2,5
1997,88,34,23,29,7,15,26,18
1997,89,37,24,45,38,3,5,6
1997,90,24,25,14,16,27,33,47
1997,91,29,36,35,47,7,17,44
1997,92,24,37,9,20,18,39,35
1997,93,24,40,12,33,46,3,1
1997,94,7,41,42,35,30,14,20
1997,95,5,40,19,26,2,1,24
1997,96,40,44,13,42,11,8,36
1997,97,22,27,19,29,46,28,21
1997,98,17,9,22,13,41,18,26
1997,99,43,45,36,42,21,25,47
1997,100,21,34,3,23,37,17,1
1997,101,47,7,14,30,4,20,9
1997,102,47,5,12,8,16,40,22
1997,103,13,43,9,36,22,34,35
1997,104,24,14,19,30,36,45,23
1998,1,39,22,10,35,37,5,25
1998,2,47,15,31,41,9,32,14
1998,3,32,8,4,33,35,11,3
1998,4,33,44,26,43,25,1,18
1998,5,11,22,27,43,3,4,37
1998,6,25,45,13,34,19,35,24
1998,7,13,20,45,31,26,1,40
1998,8,29,11,22,4,30,45,25
1998,9,9,14,16,30,17,13,39
1998,10,11,17,25,28,43,3,26
1998,11,37,2,17,9,15,8,28
1998,12,31,1,30,28,33,6,22
1998,13,24,26,11,15,32,25,30
1998,14,44,35,37,30,32,29,21
1998,15,34,32,12,27,19,25,1
1998,16,23,19,26,27,2,46,30
1998,17,42,23,1,33,12,10,39
1998,18,16,20,22,1,17,40,34
1998,19,43,46,41,20,23,22,8
1998,20,5,47,22,29,26,24,1
1998,21,37,30,25,36,40,19,14
1998,22,15,14,24,34,2,43,25
1998,23,34,19,45,17,47,2,12
1998,24,34,28,46,15,22,1,14
1998,25,11,18,15,5,37,36,39
1998,26,45,7,12,44,6,46,23
1998,27,15,19,37,33,21,17,2
1998,28,16,31,6,24,2,22,32
1998,29,13,32,46,7,25,28,17
1998,30,47,3,30,7,38,35,39
1998,31,42,23,47,22,34,1,39
1998,32,27,42,11,20,45,12,25
1998,33,29,26,38,32,5,24,19
1998,34,23,42,11,30,45,22,39
1998,35,17,41,23,13,4,33,9
1998,36,37,11,24,38,46,43,18
1998,37,39,4,27,19,34,12,42
1998,38,26,2,15,30,12,16,24
1998,39,39,6,34,2,33,24,26
1998,40,26,13,37,25,17,38,16
1998,41,7,12,28,15,2,31,19
1998,42,36,43,32,18,15,1,31
1998,43,7,20,46,37,3,5,16
1998,44,16,34,47,33,19,4,39
1998,45,12,8,39,3,7,1,34
1998,46,35,29,18,11,23,39,36
1998,47,22,39,24,28,29,23,38
1998,48,18,5,41,33,13,23,37
1998,49,12,5,3,29,45,36,40
1998,50,35,33,19,27,7,43,9
1998,51,15,4,38,36,39,5,46
1998,52,28,4,21,13,42,12,41
1998,53,43,2,29,9,32,5,47
1998,54,35,25,31,47,11,44,30
1998,55,35,43,29,45,30,4,25
1998,56,22,45,6,30,32,1,16
1998,57,28,45,22,39,9,20,19
1998,58,28,39,35,8,12,3,37
1998,59,8,44,12,24,23,5,31
1998,60,2,27,26,13,25,24,23
1998,61,22,35,32,36,20,30,33
1998,62,3,25,24,22,41,2,27
1998,63,1,23,18,5,3,14,25
1998,64,17,24,40,35,3,34,15
1998,65,28,16,1,32,36,38,14
1998,66,46,26,22,25,40,16,44
1998,67,28,41,15,36,21,2,3
1998,68,42,27,14,31,1,35,5
1998,69,30,26,34,16,17,35,13
1998,70,47,17,12,46,15,29,23
1998,71,38,15,35,10,18,39,12
1998,72,18,20,47,23,43,19,40
1998,73,42,28,47,27,43,40,34
1998,74,14,7,18,34,19,4,20
1998,75,42,39,23,46,14,21,37
1998,76,22,17,21,15,1,12,29
1998,77,34,5,24,44,36,33,42
1998,78,22,20,2,17,33,29,25
1998,79,47,6,35,45,8,13,9
1998,80,11,40,26,5,14,31,13
1998,81,26,34,12,8,9,23,47
1998,82,44,12,5,4,46,40,35
1998,83,41,43,4,42,39,12,31
1998,84,3,37,15,32,14,21,29
1998,85,31,38,19,17,12,37,20
1998,86,5,20,30,22,31,33,19
